sentiment|sentence|sentiment_score|confidence_rating|explanation_score|explanation
0|Won't ever go here again.|-0.8000000000000002|0.8833333333333333|0.9333333333333332|The explanations indicate that there is a strong negative sentiment towards the place, with a clear indication of dissatisfaction and a reluctance to return. Overall, the sentiment score is negative and the confidence rating is high, reflecting the accuracy and conciseness of the explanation.
0|Food quality has been horrible.|-0.8000000000000002|0.9|0.8666666666666667|"The overall sentiment expressed towards the food quality is extremely negative, with a strong dissatisfaction indicated by the use of the word ""horrible."""
0|For that price I can think of a few place I would have much rather gone.|-0.7333333333333334|0.8666666666666667|0.8000000000000002|The user's negative sentiment is evident in their disappointment with the price and preference for other options, resulting in a concise and valid explanation with a high grade.
0|The service here is fair at best.|0.26666666666666666|0.8000000000000002|0.8333333333333334|The sentiment is generally neutral with a slightly negative tone, as the service is described as fair at best or mediocre, but not necessarily terrible or entirely negative.
0|I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.|-0.36666666666666664|0.8333333333333334|0.8333333333333334|The overall sentiment towards the restaurant Kabuki is negative, with dissatisfaction expressed towards its pricing, ambiance, and service quality. The explanation provides clear reasoning and identifies specific negative aspects, although it lacks any positive aspects or counterbalance for a neutral sentiment. The sentiment score is slightly positive with a high confidence rating.
0|Do yourself a favor and stay away from this dish.|-0.8000000000000002|0.9|0.8666666666666667|"The explanations indicate that there is a strong negative sentiment towards the dish, with the phrase ""do yourself a favor and stay away"" being a clear indication of the dislike and disappointment. The sentiment score also reinforces the negative opinion."
0|Very poor service.|-0.8666666666666667|0.8666666666666667|0.8666666666666667|"The majority of explanations highlight a strong negative sentiment towards the service, with the use of terms like ""poor"", ""very poor"" and ""dissatisfaction"" emphasizing the negative experience."
0|No one at the table thought the food was above average or worth the wait that we had for it.|-0.7333333333333334|0.8666666666666667|0.8666666666666667|The general consensus among the group is a negative perception of the food quality and service, resulting in disappointment with the dining experience.
1|Best service and food ever, Maria our server was so good and friendly she made our day.|1.0|0.9|0.9666666666666667|"The explanations indicate that the sentiment expressed in the prompt is highly positive, mainly due to the mentions of ""best service and food ever"" and the praise for Maria's friendliness."
1|They were excellent.|1.0|0.9|0.9666666666666667|"The text ""They were excellent"" receives a consistently positive sentiment, with the word ""excellent"" indicating a high level of satisfaction and a strong endorsement."
0|I paid the bill but did not tip because I felt the server did a terrible job.|-0.8000000000000002|0.8833333333333333|0.8166666666666668|The average summary of the explanations is that the sentiment is negative because the user is dissatisfied with the server's performance and did not leave a tip. The confidence rating is high as the sentiment is clearly expressed and the reasoning behind the negative sentiment is mentioned.
1|Just had lunch here and had a great experience.|0.9|0.8000000000000002|0.9|"The user had a positive experience and described it as ""great"", resulting in a high confidence score for the positive sentiment expressed in the prompt."
0|I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.|-0.7333333333333334|0.8666666666666667|0.8333333333333334|The sentiment score is negative due to the user's disappointment in the taste of the food compared to the expectations set by the article they read. The explanation provides clear reasoning and supports the sentiment rating.
0|Food is way overpriced and portions are fucking small.|-0.8333333333333334|0.8666666666666667|0.8333333333333334|The explanations collectively suggest a highly negative sentiment due to strong dissatisfaction and frustration with prices, portion sizes, and the use of profanity in describing them.
1|I recently tried Caballero's and I have been back every week since!|0.9166666666666666|0.9|0.9333333333333332|The person's experience at Caballero's is consistently positive, as indicated by their frequent visits and strong liking for the restaurant.
0|for 40 bucks a head, i really expect better food.|-0.6666666666666666|0.8333333333333334|0.5333333333333333|The sentiment is negative as the users express disappointment and dissatisfaction with the food quality in relation to its high price, with a strong and clear explanation.
1|The food came out at a good pace.|0.7333333333333334|0.8666666666666667|0.9|The overall sentiment expressed is positive, as the majority of the explanations mention that the food came out at a good pace, indicating efficient service and a positive dining experience.
1|I ate there twice on my last visit, and especially enjoyed the salmon salad.|0.7666666666666666|0.9|0.9666666666666667|The explanations collectively indicate a positive sentiment towards the restaurant visit, with a specific mention of enjoying the salmon salad.
0|I won't be back.|-0.6999999999999998|0.8666666666666667|0.8666666666666667|The sentiment score is consistently negative across explanations due to the clear indication that the person does not plan on returning, conveying a negative experience with high confidence.
0|We could not believe how dirty the oysters were!|-0.8000000000000002|0.9|0.7666666666666666|The sentiment of the text is negative as the user expresses disbelief and dissatisfaction about the dirtiness of the oysters, indicating a strong negative sentiment. The sentiment score is -0.8 with a confidence rating of 0.9, and the explanation is graded 0.8 for providing a clear reason.
0|This place deserves no stars.|-0.8333333333333334|0.9|0.8333333333333334|The majority of the explanations suggest that the text strongly conveys a negative sentiment due to the statement that the place deserves no stars, displaying a clear disappointment and dissatisfaction with the place. The negative sentiment is supported by the consistent use of strong disapproval and lack of positive elements in the text.
0|I would not recommend this place.|-0.8000000000000002|0.9|0.8666666666666667|"The majority of the explanations suggest that the statement ""I would not recommend this place"" expresses a negative sentiment, specifically conveying the user's dissatisfaction and lack of recommendation. The use of the word ""not"" is mentioned as emphasizing or intensifying the negative sentiment."
1|In fact I'm going to round up to 4 stars, just because she was so awesome.|0.8000000000000002|0.9|0.8666666666666667|"The explanations indicate a positive sentiment and admiration towards someone, with words like ""awesome"" and ""4 stars"" emphasizing the positivity and intention of giving a higher rating."
0|To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.|-0.8666666666666667|0.8666666666666667|0.8333333333333334|The explanations unanimously suggest a very negative sentiment towards the subject, highlighting disappointment, dissatisfaction, and the use of strong negative language.
0|Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!|-0.45|0.7666666666666666|0.9|The sentiment score is slightly positive, but the confidence rating is high indicating a clear and straightforward negative sentiment. The user expresses frustration towards rude customer service and emphasizes the expectation of polite behavior.
