sentiment,sentence,processed,vector
0,the angel is going to miss the athlete this weekend ,"['angel', 'go', 'miss', 'athlet', 'weekend']",[0. 0. 0. ... 0. 0. 0.]
0,It looks as though Shaq is getting traded to Cleveland to play w/ LeBron... Too bad for Suns' fans. The Big Cactus is no more ,"['look', 'though', 'shaq', 'get', 'trade', 'cleveland', 'play', 'w', 'lebron', '...', 'bad', 'sun', ""'"", 'fan', '.', 'big', 'cactu']",[0. 0. 0. ... 0. 0. 0.]
0,@clarianne APRIL 9TH ISN'T COMING SOON ENOUGH ,"['april', 'th', 'come', 'soon', 'enough']",[0. 0. 0. ... 0. 0. 0.]
0,drinking a McDonalds coffee and not understanding why someone would hurt me for no apparent reason. ,"['drink', 'mcdonald', 'coffe', 'understand', 'someon', 'would', 'hurt', 'appar', 'reason', '.']",[0. 0. 0. ... 0. 0. 0.]
0,So dissapointed Taylor Swift doesnt have a Twitter ,"['dissapoint', 'taylor', 'swift', 'doesnt', 'twitter']",[0. 0. 0. ... 0. 0. 0.]
0,Wishes I was on the Spring Fling Tour with Dawn &amp; neecee Sigh  G'knight,"['wish', 'spring', 'fling', 'tour', 'dawn', 'amp', ';', 'neece', 'sigh', ""g'knight""]",[0. 0. 0. ... 0. 0. 0.]
0,"got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo ","['got', 'sniffl', ',', 'got', 'kid', 'hubbi', 'left', 'work', 'sydney', 'weekend', ',', 'boo', 'hoo']",[0. 0. 0. ... 0. 0. 0.]
0,i've only been in sydney for 3 hrs but I miss my friends  especially @ktjade!!!,"[""i'v"", 'sydney', 'hr', 'miss', 'friend', 'especi']",[0. 0. 0. ... 0. 0. 0.]
0,xboxtweet not working again ,"['xboxtweet', 'work']",[0. 0. 0. ... 0. 0. 0.]
0,R.I.P to lebron/kobe puppet commercials... ,"['r.i.', 'p', 'lebron', 'kobe', 'puppet', 'commerci', '...']",[0. 0. 0. ... 0. 0. 0.]
0,Allergies sucks sometimes. Theres a super adorable 9 month old beagle named Sydney hanging out with my roomie and his friend. Can't pet. ,"['allergi', 'suck', 'sometim', '.', 'there', 'super', 'ador', 'month', 'old', 'beagl', 'name', 'sydney', 'hang', 'roomi', 'friend', '.', ""can't"", 'pet', '.']",[0. 0. 0. ... 0. 0. 0.]
0,has a broken iphone ,"['broken', 'iphon']",[0. 0. 0. ... 0. 0. 0.]
0,Line at McDonalds was too long so I can't get my sausage biscuit on ,"['line', 'mcdonald', 'long', ""can't"", 'get', 'sausag', 'biscuit']",[0. 0. 0. ... 0. 0. 0.]
0,"@stephnewby there is a virus going around  congestion, throw up, &amp; high fever","['viru', 'go', 'around', 'congest', ',', 'throw', ',', 'amp', ';', 'high', 'fever']",[0. 0. 0. ... 0. 0. 0.]
0,I scratched my iPod ,"['scratch', 'ipod']",[0. 0. 0. ... 0. 0. 0.]
0,I don't understand... I really don't ,"['understand', '...', 'realli']",[0. 0. 0. ... 0. 0. 0.]
0,@Rove1974 @Pink is our hero too! Love her! Wanna go see her in Brisvegas again but sadly my bank balance wont let me ,"['hero', 'love', 'wanna', 'go', 'see', 'brisvega', 'sadli', 'bank', 'balanc', 'wont', 'let']",[0. 0. 0. ... 0. 0. 0.]
0,I hate the fact that I'm genuinely excited about my last tweet ,"['hate', 'fact', ""i'm"", 'genuin', 'excit', 'last', 'tweet']",[0. 0. 0. ... 0. 0. 0.]
0,"Tula's sick! Nausious, Nasal congestion, headache, bodyaches and my nose is running a marathon. Theraflu please help ","[""tula'"", 'sick', 'nausiou', ',', 'nasal', 'congest', ',', 'headach', ',', 'bodyach', 'nose', 'run', 'marathon', '.', 'theraflu', 'pleas', 'help']",[0. 0. 0. ... 0. 0. 0.]
0,Hayfever time  not good!,"['hayfev', 'time', 'good']",[0. 0. 0. ... 0. 0. 0.]
0,"I wish diversity was like one of those musicians with loads of stuff on YouTube, but no  #bgt","['wish', 'divers', 'like', 'one', 'musician', 'load', 'stuff', 'youtub', ',']",[0. 0. 0. ... 0. 0. 0.]
0,"Oh No - the Cavs lost game 4  Cavs are 1 loss away from triggering a nuclear event that would make the hadron look like tiddlywinks ,,","['oh', 'cav', 'lost', 'game', 'cav', 'loss', 'away', 'trigger', 'nuclear', 'event', 'would', 'make', 'hadron', 'look', 'like', 'tiddlywink', ',', ',']",[0. 0. 0. ... 0. 0. 0.]
0,"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! ","['still', 'sick', '.', 'feel', 'bit', 'better', ',', 'got', 'new', 'medicin', '...', '.', 'hope', 'feel', 'good', 'night', 'sleep', '.', 'ohh', ',', 'suppos', 'snow', 'wtf']",[0. 0. 0. ... 0. 0. 0.]
0,worked on 5 bone marrow cases today! All + for cancer! ,"['work', 'bone', 'marrow', 'case', 'today', 'cancer']",[0. 0. 0. ... 0. 0. 0.]
0,It was a sleepless night ,"['sleepless', 'night']",[0. 0. 0. ... 0. 0. 0.]
0,"@d_castillo ugh, that's disconcerting ","['ugh', ',', ""that'"", 'disconcert']",[0. 0. 0. ... 0. 0. 0.]
0,forgot about my english coursework &amp; my ipod is banjaxed; today is just not my day ,"['forgot', 'english', 'coursework', 'amp', ';', 'ipod', 'banjax', ';', 'today', 'day']",[0. 0. 0. ... 0. 0. 0.]
0,@TweetRamona too bad it's in seattle.. ,"['bad', 'seattl', '.', '.']",[0. 0. 0. ... 0. 0. 0.]
0,MY TWEETS ARENT GOING THROUGH ,"['tweet', 'arent', 'go']",[0. 0. 0. ... 0. 0. 0.]
0,@SeattleRealEst8 439 calories; 28 grams of fat; 41.7 carbs...  by by Mexi-Fry.,"['calori', ';', 'gram', 'fat', ';', 'carb', '...', 'mexi-fri', '.']",[0. 0. 0. ... 0. 0. 0.]
0,@mglickman that reminds me of a bit howard stern did back in the day about oprah eating a lot.  i wish i could find it on the net. ,"['remind', 'bit', 'howard', 'stern', 'back', 'day', 'oprah', 'eat', 'lot', '.', 'wish', 'could', 'find', 'net', '.']",[0. 0. 0. ... 0. 0. 0.]
0,Is wondering why it's always warm when she leaves London in the morning &amp; freezing when she gets to Woking ,"['wonder', 'alway', 'warm', 'leav', 'london', 'morn', 'amp', ';', 'freez', 'get', 'woke']",[0. 0. 0. ... 0. 0. 0.]
0,@lolitariot oh no  hope you're not getting sick too!,"['oh', 'hope', 'get', 'sick']",[0. 0. 0. ... 0. 0. 0.]
0,@mykele sayyyy whaaaa? I wasn't invited... ,"['sayyyi', 'whaaaa', '?', 'invit', '...']",[0. 0. 0. ... 0. 0. 0.]
0,"#3 woke up and was having an accident - &quot;It's pushing, it's pushing!&quot; he was crying because he couldn't stop from wetting his pants.  ","['woke', 'accid', 'quot', ';', 'push', ',', 'push', 'quot', ';', 'cri', 'stop', 'wet', 'pant', '.']",[0. 0. 0. ... 0. 0. 0.]
