sentiment|sentence|sentiment_score|confidence_rating|explanation_score|explanation|processed|vector|results|fold
0|the angel is going to miss the athlete this weekend |0.7000000000000001|0.8333333333333334|0.8666666666666667|The sentiment of the text is generally positive, as it suggests that the angel will feel a sense of fondness or admiration for the athlete's absence, and may experience some sadness or longing.|['angel', 'go', 'miss', 'athlet', 'weekend']|[0. 0. 0. ... 0. 0. 0.]|0.12078605592250824|1.0
0|It looks as though Shaq is getting traded to Cleveland to play w/ LeBron... Too bad for Suns' fans. The Big Cactus is no more |-0.6666666666666666|0.8666666666666667|0.8333333333333334|The sentiment is negative due to disappointment expressed by the user regarding the trade of the Suns' star player Shaq to Cleveland, indicating a loss for the Suns franchise and the fans' disappointment.|"['look', 'though', 'shaq', 'get', 'trade', 'cleveland', 'play', 'w', 'lebron', '...', 'bad', 'sun', ""'"", 'fan', '.', 'big', 'cactu']"|[0. 0. 0. ... 0. 0. 0.]|0.2049160599708557|2.0
0|@clarianne APRIL 9TH ISN'T COMING SOON ENOUGH |0.5666666666666667|0.8333333333333334|0.8666666666666667|"The sentiment analysis suggests a generally positive sentiment with a confidence rating of 0.7 based on the user's anticipation and excitement for April 9th, which is evident from their use of exclamation marks and the phrase ""isn't coming soon enough""."|['april', 'th', 'come', 'soon', 'enough']|[0. 0. 0. ... 0. 0. 0.]|0.49467933177948|0.0
0|drinking a McDonalds coffee and not understanding why someone would hurt me for no apparent reason. |-0.3333333333333333|0.7333333333333334|0.8000000000000002|The sentiment score is slightly positive with a moderately high confidence rating, as the explanation is well-detailed and outlines the reasons for the sentiment, including enjoyment of McDonald's coffee and confusion about someone's unexplained actions, resulting in a mildly positive sentiment.|['drink', 'mcdonald', 'coffe', 'understand', 'someon', 'would', 'hurt', 'appar', 'reason', '.']|[0. 0. 0. ... 0. 0. 0.]|0.27634334564208984|2.0
0|So dissapointed Taylor Swift doesnt have a Twitter |-0.7666666666666666|0.9|0.8166666666666668|The statement indicates a negative sentiment as the user expresses disappointment about Taylor Swift not having a Twitter account, which suggests a desire to connect with her on that platform.|['dissapoint', 'taylor', 'swift', 'doesnt', 'twitter']|[0. 0. 0. ... 0. 0. 0.]|0.3467409312725067|4.0
0|Wishes I was on the Spring Fling Tour with Dawn &amp; neecee Sigh  G'knight|0.7333333333333334|0.8666666666666667|0.8666666666666667|"The sentiment of the text is positive as the user expresses a longing desire to be part of the enjoyable Spring Fling Tour, wishing to be with specific people and ending with a sigh and a positive term ""G'knight."""|"['wish', 'spring', 'fling', 'tour', 'dawn', 'amp', ';', 'neece', 'sigh', ""g'knight""]"|[0. 0. 0. ... 0. 0. 0.]|0.11344365030527115|3.0
0|got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo |-0.3833333333333333|0.7999999999999999|0.8166666666666668|The average sentiment of the text is slightly negative, as the user expresses some disappointment and sadness about having a sniffle and their family leaving for the weekend, which implies a feeling of discomfort and loneliness.|['got', 'sniffl', ',', 'got', 'kid', 'hubbi', 'left', 'work', 'sydney', 'weekend', ',', 'boo', 'hoo']|[0. 0. 0. ... 0. 0. 0.]|0.24132661521434784|1.0
0|i've only been in sydney for 3 hrs but I miss my friends  especially @ktjade!!!|-0.2666666666666666|0.8333333333333334|0.8666666666666667|The overall sentiment score indicates a slightly negative sentiment, as the user expresses missing their friends and potentially feeling sad or lonely in a new city. However, the mention of a specific friend also implies a slight excitement to reconnect with them.|"[""i'v"", 'sydney', 'hr', 'miss', 'friend', 'especi']"|[0. 0. 0. ... 0. 0. 0.]|0.06268634647130966|4.0
0|xboxtweet not working again |-0.8000000000000002|0.8666666666666667|0.8666666666666667|The sentiment score is highly negative (-0.8) with a confidence rating of 0.8, reflecting frustration and disappointment expressed by the user due to Xbox not working again. The explanation grade is 0.9 as it accurately identifies the negative sentiment and aligns well with the user's comment.|['xboxtweet', 'work']|[0. 0. 0. ... 0. 0. 0.]|0.2518928050994873|3.0
0|R.I.P to lebron/kobe puppet commercials... |-0.6666666666666666|0.8333333333333334|0.8000000000000002|The overall sentiment is negative as users express sadness, disappointment, mourning, and nostalgia for the end of the LeBron/Kobe puppet commercials, with a high confidence rating and well-supported explanations.|['r.i.', 'p', 'lebron', 'kobe', 'puppet', 'commerci', '...']|[0. 0. 0. ... 0. 0. 0.]|0.26240861415863037|1.0
0|Allergies sucks sometimes. Theres a super adorable 9 month old beagle named Sydney hanging out with my roomie and his friend. Can't pet. |-0.2166666666666666|0.85|0.6999999999999998|"The sentiment of the text is slightly negative, with mentions of allergies being unpleasant and not being able to pet the adorable beagle contributing to the negative sentiment. However, the mention of the beagle also elicits some positive sentiment. The overall sentiment score is slightly positive due to the mention of the ""super adorable 9 month old beagle named Sydney,"" but the sentiment is still leaning towards being negative. The explanation is well-reasoned, providing reasoning for both the positive and negative sentiments, although it could be more detailed in connecting the sentiment to the specific words used in the original text."|"['allergi', 'suck', 'sometim', '.', 'there', 'super', 'ador', 'month', 'old', 'beagl', 'name', 'sydney', 'hang', 'roomi', 'friend', '.', ""can't"", 'pet', '.']"|[0. 0. 0. ... 0. 0. 0.]|0.07362298667430878|4.0
0|has a broken iphone |-0.3333333333333333|0.8333333333333334|0.8333333333333334|The explanations suggest that the sentiment is negative, as indicated by the sentiment score and the mention of a broken iPhone, with a high confidence rating.|['broken', 'iphon']|[0. 0. 0. ... 0. 0. 0.]|0.18212158977985382|3.0
0|Line at McDonalds was too long so I can't get my sausage biscuit on |-0.6666666666666666|0.8666666666666667|0.8666666666666667|The majority of explanations indicate a negative sentiment due to the user's frustration with the long line at McDonald's and being unable to get their desired sausage biscuit. The negative sentiment is clear and well supported.|"['line', 'mcdonald', 'long', ""can't"", 'get', 'sausag', 'biscuit']"|[0. 0. 0. ... 0. 0. 0.]|0.17408667504787445|3.0
0|@stephnewby there is a virus going around  congestion, throw up, &amp; high fever|-0.4333333333333333|0.8333333333333334|0.7333333333333334|The text discusses the symptoms of a virus, including congestion, vomiting, and high fever, which are generally considered negative experiences and illness. Overall, the sentiment is slightly positive, indicating a mixed sentiment.|['viru', 'go', 'around', 'congest', ',', 'throw', ',', 'amp', ';', 'high', 'fever']|[0. 0. 0. ... 0. 0. 0.]|0.05943884328007698|2.0
0|I scratched my iPod |0.1|0.5|0.8666666666666667|The sentiment score slightly leans towards positive due to the acknowledgment that scratching an iPod may lead to frustration or imply carelessness, but it does not necessarily indicate highly negative emotions.|['scratch', 'ipod']|[0. 0. 0. ... 0. 0. 0.]|0.2688392102718353|2.0
0|I don't understand... I really don't |-0.7666666666666666|0.8000000000000002|0.8666666666666667|"The text has a highly negative sentiment because the user expresses confusion and frustration by saying they don't understand, emphasizing it with ""really"". The sentiment score is -0.9 and the explanation grade is 0.9."|['understand', '...', 'realli']|[0. 0. 0. ... 0. 0. 0.]|0.2709284722805023|4.0
0|@Rove1974 @Pink is our hero too! Love her! Wanna go see her in Brisvegas again but sadly my bank balance wont let me |0.7000000000000001|0.8333333333333334|0.9|The sentiment of the text is positive, as the user expresses love and admiration for Pink and desires to see her again in Brisvegas, despite their bank balance not allowing it. There is a slight hint of disappointment but overall the sentiment is positive.|['hero', 'love', 'wanna', 'go', 'see', 'brisvega', 'sadli', 'bank', 'balanc', 'wont', 'let']|[0. 0. 0. ... 0. 0. 0.]|0.8796535134315491|2.0
0|I hate the fact that I'm genuinely excited about my last tweet |-0.3999999999999999|0.8333333333333334|0.9|"The sentiment score is negative as the user expressed hate towards being excited about their last tweet, but the confidence rating is high as the sentiment is clearly expressed. Despite the use of the word ""hate,"" the user expresses excitement about their last tweet, which indicates a positive sentiment, but the overall sentiment leans towards negative because the user hates feeling excited about their last tweet."|"['hate', 'fact', ""i'm"", 'genuin', 'excit', 'last', 'tweet']"|[0. 0. 0. ... 0. 0. 0.]|0.19022779166698456|0.0
0|Tula's sick! Nausious, Nasal congestion, headache, bodyaches and my nose is running a marathon. Theraflu please help |-0.8000000000000002|0.8666666666666667|0.85|The text expresses a strongly negative sentiment, as the user describes multiple symptoms such as nausea, nasal congestion, headache, bodyaches, and a running nose, indicating a desire for relief with Theraflu.|"[""tula'"", 'sick', 'nausiou', ',', 'nasal', 'congest', ',', 'headach', ',', 'bodyach', 'nose', 'run', 'marathon', '.', 'theraflu', 'pleas', 'help']"|[0. 0. 0. ... 0. 0. 0.]|0.031658656895160675|0.0
0|Hayfever time  not good!|-0.7666666666666666|0.8666666666666667|0.8000000000000002|The sentiment analysis consistently indicates a negative sentiment (-0.8 to -0.7) with a high level of confidence, as users express dissatisfaction and negative experiences related to hayfever season.|['hayfev', 'time', 'good']|[0. 0. 0. ... 0. 0. 0.]|0.48924338817596436|0.0
0|I wish diversity was like one of those musicians with loads of stuff on YouTube, but no  #bgt|0.2333333333333333|0.7666666666666667|0.8000000000000002|The sentiment of the explanations is generally positive, with an emphasis on the desire for diversity to be celebrated and recognized. There is also a mention of dissatisfaction with the lack of diversity on a specific platform.|['wish', 'divers', 'like', 'one', 'musician', 'load', 'stuff', 'youtub', ',']|[0. 0. 0. ... 0. 0. 0.]|0.08927082270383835|3.0
0|Oh No - the Cavs lost game 4  Cavs are 1 loss away from triggering a nuclear event that would make the hadron look like tiddlywinks ,,|-0.8333333333333334|0.8333333333333334|0.7333333333333334|The text expresses a strong negative sentiment, indicating frustration and disappointment over the Cavs losing game 4 and exaggerating the consequences by mentioning a hypothetical nuclear event.|['oh', 'cav', 'lost', 'game', 'cav', 'loss', 'away', 'trigger', 'nuclear', 'event', 'would', 'make', 'hadron', 'look', 'like', 'tiddlywink', ',', ',']|[0. 0. 0. ... 0. 0. 0.]|0.15564778447151184|1.0
0|still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! |0.2|0.7833333333333333|0.8166666666666668|The sentiment of the explanations is mostly positive, as the user mentions feeling better and having new medicine, despite some negative cues like frustration with the weather.|['still', 'sick', '.', 'feel', 'bit', 'better', ',', 'got', 'new', 'medicin', '...', '.', 'hope', 'feel', 'good', 'night', 'sleep', '.', 'ohh', ',', 'suppos', 'snow', 'wtf']|[0. 0. 0. ... 0. 0. 0.]|0.23817309737205505|1.0
0|worked on 5 bone marrow cases today! All + for cancer! |1.0|0.9|1.0|The overall sentiment is highly positive (+1) as the user expresses excitement and satisfaction about successfully working on 5 bone marrow cases, all of which being positive for cancer.|['work', 'bone', 'marrow', 'case', 'today', 'cancer']|[0. 0. 0. ... 0. 0. 0.]|0.066072016954422|4.0
0|It was a sleepless night |-0.7333333333333334|0.8666666666666667|0.8333333333333334|"The statement ""It was a sleepless night"" conveys a negative sentiment as it suggests difficulty in sleeping, resulting in restlessness and potentially negative emotions such as exhaustion or frustration. The sentiment score of -0.7 indicates a highly confident negative rating."|['sleepless', 'night']|[0. 0. 0. ... 0. 0. 0.]|0.3037933111190796|0.0
0|@d_castillo ugh, that's disconcerting |-0.6|0.8333333333333334|0.8666666666666667|"The text expresses a negative sentiment through the use of words like ""ugh"" and ""disconcerting"", conveying frustration and unease."|"['ugh', ',', ""that'"", 'disconcert']"|[0. 0. 0. ... 0. 0. 0.]|0.21208946406841278|0.0
0|forgot about my english coursework &amp; my ipod is banjaxed; today is just not my day |-0.7666666666666666|0.8666666666666667|0.8333333333333334|The sentiment score is negative due to frustration and disappointment expressed by the user in relation to forgetting their English coursework and having a broken iPod, indicating a general sense of having a bad day.|['forgot', 'english', 'coursework', 'amp', ';', 'ipod', 'banjax', ';', 'today', 'day']|[0. 0. 0. ... 0. 0. 0.]|0.23860110342502594|0.0
0|@TweetRamona too bad it's in seattle.. |-0.6333333333333333|0.7999999999999999|0.8000000000000002|The user's negative sentiment is based on expressing disappointment about the location being in Seattle, with a sentiment score of -0.6 and a confidence rating of 0.8. The explanation is well-supported and provides a clear understanding of why the sentiment is negative.|['bad', 'seattl', '.', '.']|[0. 0. 0. ... 0. 0. 0.]|0.16879984736442566|1.0
